Commodity name,HSCode,FY25 import value (mm$),Last 4 Years import value average annual growth (%),FY25 export value (mm$),Last 4 Years export value average annual growth (%),Import Value/ Export Value FY25 ratio,Import Value/ Export Value Last 4 years ratio,Last 4 Years import price average annual growth (%),FY25 import price ($/unit),Last 4 Years export price average annual growth (%),FY25 export price ($/unit),Unit
FROZEN FILLETS OF CATFISH (PANGASIUS SPP.& SILURUS SPP.& CLARIAS SPP.& ICTALURUS SPP.),3046200,16.06,0.3,0,-50,0,3088,-0.46,1.58,-5.56,0,0
FROZEN FILLETS OF NILE PERCH (LATES NILOTICUS),3046300,0,0,0,0,0,0,0,0,0,0,KGS
FROZEN FILLETS OF CARP& EELS& SNAKEHEADS,3046900,0,0,0.01,-12.5,0,0,0,0,-0.38,4.15,KGS
FROZEN FILLETS OF COD,3047100,0.01,-2.22,0,-50,0,0.16,-2.27,9.16,-5.56,0,KGS
FROZEN FILLETS OF COAL FISH,3047300,0,0,0,0,0,0,0,0,0,0,KGS
FROZEN FILLETS OF HAKE,3047400,0,0,0,0,0,0,0,0,0,0,KGS
FROZEN FILLETS OF ALASKA POLLACK(THERAGRA CHALCOGRAMMA),3047500,0,-5.56,0,0,0,0,-5.56,0,0,0,KGS
OTHER FROZEN FILLETS OF FISH OF BREGMACEROTIDAE& EUCLICHTHYIDAE&GADIDAE ETC,3047900,0.15,1.39,0.05,-22.22,3,1.59,-1.84,19.91,-0.91,3.72,KGS
FROZEN FILLETS OF PACIFIC SALMON,3048100,2.35,0.2,0,-50,0,91.5,-0.26,12.91,-5.56,0,KGS
FROZEN FILLETS OF FLAT FISH,3048300,0,-5.56,0,0,0,0,-5.56,0,0,0,KGS
FROZEN FILLETS OF SWORD FISH,3048400,0,0,0.49,-27.17,0,0,0,0,0.03,5.55,KGS
FROZEN FILLETS OF TUNAS(OF THE GENUS THUNNUS)SKIPJACK TUNA(STRIPE BELLIED BONITO)(KATSUWONUSPELAMIS),3048700,0.35,-0.15,2.13,-1.66,0.16,0.16,3.37,18.25,-0.84,4.01,KGS
FROZEN FILLETS OF OTHER SHARKS,3048820,0,0,0,0,0,0,0,0,0,0,KGS
FROZEN FILLETS OF HILSA (TENUALOSA ILISHA),3048910,0,0,0.01,0,0,0,0,0,0,13.18,KGS
FROZEN FILLETS OF SEER,3048930,0,0,0,-50,0,0,0,0,-5.56,0,KGS
FROZEN FILLETS OF TUNA,3048940,0,-5.56,0,-50,0,0.33,-5.56,0,-5.56,0,KGS
FROZEN FILLETS OF OTHER FISH,3048990,0.17,-0.99,21,17.98,0.01,0.01,-0.82,14.44,-0.2,7.33,KGS
FROZEN FILLETS OF SWORD FISH (XIPHIAS GLADIUS),3049100,0,0,0.12,78.57,0,0,0,0,1.25,6.51,KGS
FROZEN FILLETS OF TILAPIAS&CATFISH& CARP& EELS & NILE PERCH AND SNAKEHEADS,3049300,0.21,-3.71,0,-50,0,26.38,-1.07,1.2,-5.56,0,KGS
FROZEN FILLETS OF ALASKA POLLACK(THERAGRA CHALCOGRAMMA),3049400,0.1,-4.11,0,0,0,0,-0.36,4.45,0,0,KGS
FROZEN FILLETS OF RAYS AND SKATES (RAJIDAE),3049700,0,0,0,0,0,0,0,0,0,0,KGS
OTHER,3049900,9.21,0.51,105.54,-11.59,0.09,0.07,-0.99,2.82,-0.81,2.14,KGS
*FISH MEAL FIT FOR HUMAN CONSUMPTION,3051000,0,0,0,-50,0,0,0,0,-5.56,0,KGS
FISH LIVR& ROES AND MILT OF FISH DRIED SMOKD SLTD/IN BRINE,3052000,0,0,0,-50,0,0,0,0,-5.56,0,KGS
FISH DRIED& SALTED OR IN BRINE&SMOKED TILAPIAS CATFISH &CARP& EELS. NILE PERCH AND SNAKEHEADS,3053100,0,0,0,0,0,0,0,0,0,0,KGS
FISH DRIED&SALTED OR IN BRINE& SMOKED FISH OF THE FAMILIES BREGMACEROTIDAE ETC,3053200,0,-5.56,0,-50,0,7,-5.56,0,-5.56,0,KGS
OTHER,3053900,0,-5.56,0.04,-38.46,0,0.46,-5.56,0,-2.34,5.23,KGS
PACFC SLMN (ONCRHNCHS NRKA& GRBSCHA ETC) ATLNTC SLMN (SLMO SLR) DNUB SLMN (HCO HCO),3054100,1.1,-0.26,0,0,0,0,-0.57,16.63,0,0,KGS
HERRINGS SMOKED INCLUDING FILLETS,3054200,0,0,0,0,0,0,0,0,0,0,KGS
OTHER SMOKED FISH INCLUDING FILLETS,3054900,0,0,0.12,-5,0,0,0,0,0.48,1.36,KGS
COD DRIED NT SMOKED W/N SALTED,3055100,0,0,0,0,0,0,0,0,0,0,0
DRIED NT SMOKED W/N SALTED TILAPIAS& CATFISH & EELS & NILE PERCH AND SNAKEHEADS,3055200,0,0,0,-50,0,0,0,0,-5.56,0,KGS
DRIED NT SMOKED W/N SALTED FISH OF THE FAMILIES BREGMACEROTIDAE& EUCLICHTHYIDAE& GADIDAE& MACROURIDAE& MELANONIDAE ETC,3055300,0,0,0,-50,0,0,0,0,-5.56,0,KGS
DRIED NT SMOKED W/N SALTED HERRINGS&ANCHOVIES&SARDINES&SARDINELLA&BRISLING&MACKEREL &SEERFISHES&JACKS& CREVALLES& COBIA ETC,3055400,0,0,0.01,-31.25,0,0,0,0,-1.14,1.66,KGS
DRIED BOMBAY DUCK NT SMKD,3055910,0,0,1.39,21.9,0,0,0,0,0.22,2.16,KGS
DRIED SEER WITHOUT HEAD NT SMKD,3055920,0,0,0,0,0,0,0,0,0,0,KGS
SPRATS DRIED NT SMOKED W/N SALTED,3055930,0,0,0.04,-3.85,0,0,0,0,4.93,4.08,KGS
OTHER DRIED N.E.S.NT SMKD,3055990,5.36,3.54,17.1,3.67,0.31,0.23,0.01,2.05,-0.19,1.35,KGS
COD SLTD OR IN BRINE BUT NT DRID/SMOKD,3056200,0,0,0,0,0,0,0,0,0,0,KGS
ANCHOVIES SLTED OR IN BRINE BUT NT DRD/SMKD,3056300,0,0,0.03,62.5,0,0,0,0,8.44,7.22,KGS
BOMBAY DUCK SLTD NT DRID NT SMKD,3056910,0,0,0,-50,0,0,0,0,-5.56,0,KGS
SEER WITHOUT HEAD SLTD NT DRID NT SMKD,3056920,0,0,0,0,0,0,0,0,0,0,KGS
FISH SALTED& NOT DRIED OR SMOKED AND FISH IN BRINE SPRATS,3056930,0,0,0,-50,0,0,0,0,-5.56,0,KGS
OTHER FISH SMOKD& DRIED& SALTD OR IN BRINE,3056990,0,0,0.31,5.36,0,0,0,0,-1.44,1.67,KGS
SALTED& NOT DRIED OR SMOKED AND IN BRINE SHARK FINS,3057100,0,0,0.11,0,0,0,0,0,0,289.47,KGS
SALTED& NOT DRIED OR SMOKED AND IN BRINE FISH HEADS& TAILS AND MAWS,3057200,0,0,20.47,-16.21,0,0,0,0,-1.39,79.78,KGS
OTHER FISH FINS& HEADS& TAILS& MAWS AND OFFAL SALTED& NOT DRIED OR SMOKED AND IN BRINE,3057900,0,-5.56,0,-50,0,0.75,-5.56,0,-5.56,0,KGS
ROCK LOBSTER AND OTHER SEA CRAWFISH (PALINURUS SP PANULIRUS SP JASUS SP)FRZN,3061100,0.06,-2.7,28.54,0.89,0,0,-3.2,5.55,0.15,17.83,KGS
WHOLE COOKD LOBSTERS(HOMARUS SPP) FROZEN,3061210,0,0,0.1,33.33,0,0,0,0,-0.5,19.49,KGS
OTHER FROZEN LOBSTER,3061290,0.03,-4.08,0.35,-21.47,0.09,0.17,-39.15,28.46,-0.56,9.38,KGS
CRABS FROZEN,3061400,1.96,1.55,1.66,8.45,1.18,1.11,-0.35,5.47,0.15,3.71,KGS
NORWAY LOBSTERS (NEPHROPS NORVEGICUS),3061500,0.48,0,2.48,62.73,0.19,0.08,0,1.82,0.17,4.48,KGS
ACCELERATED FREEZE DRIED(AFD),3061610,0,0,0,-50,0,0,0,0,-5.56,0,KGS
OTHER,3061690,0.06,-5.51,0.06,50,1,160.67,-5.15,9.34,-32.32,26.67,KGS
ACCELERATED FREEZE DRIED(AFD),3061711,0,-5.56,34.67,19.16,0,0,-5.56,0,-0.22,32.66,KGS
OTHER SCAMPI,3061719,1.51,1.23,24.05,0.59,0.06,0.05,1.18,2.68,1.33,9.73,KGS
VANNAMEI SHRIMP (LITOPENAEUS VANNAMEI),3061720,9.09,-2.96,3520.82,-3.95,0,0,0.24,7.41,-0.44,6.57,KGS
INDIAN WHITE SHRIMP (FENNEROPENAEUS INDICUS),3061730,0.1,9.6,32.52,-13.43,0,0,0.86,10.11,-0.36,7.32,KGS
BLACK TIGER SHRIMP (PENAEUS MONODON),3061740,1.1,1.23,327.61,34.2,0,0,1.01,11.83,-0.28,9.37,KGS
FLOWER SHRIMP (PENAEUS SEMISULCATUS),3061750,0,-5.56,6.95,-11.94,0,0.02,-5.56,0,-0.42,8.23,KGS
OTHER SHRIMPS AND PRAWNS,3061790,2.76,-1.89,196.91,-9.54,0.01,0.02,0.37,6.89,-0.64,5.01,KGS
OTHER,3061900,0.47,0.66,8.41,-23.66,0.06,0.03,-0.76,3.45,0.08,6.12,KGS
LIVE FRESH OR CHILLED ROCK LOBSTER AND OTHER SEA CRAWFISH,3063100,0,0,0,-50,0,0,0,0,-5.56,0,KGS
LIVE FRESH OR CHILLED LOBSTERS,3063200,0,-5.56,4.16,30.83,0,0.02,-5.56,0,0.12,28.09,KGS
LIVE FRESH OR CHILLED CRABS,3063300,0,-5.56,49.14,8.64,0,0,-5.56,0,1.15,10.5,KGS
LIVE FRESH OR CHILLED NORWAY LOBSTERS,3063400,0,0,0,-50,0,0,0,0,-5.56,0,KGS
LIVE FRESH OR CHILLED COLD WATER SHRIMPS AND PRAWNS,3063500,0,0,0.2,-44.13,0,0,0,0,-3.63,3.62,KGS
*LIVE FRESH OR CHILLED OTHER SHRIMPS AND PRAWNS,3063600,0,-5.56,0,-50,0,0.55,-5.56,0,-5.56,0,KGS
Scampi,3063610,0.03,0,6.74,149.8,0,0,0,2.75,0.68,15.4,KGS
Vannamei shrimp,3063620,16.37,14.03,0.16,2350,102.31,178.24,-0.75,619.72,0.53,9.17,KGS
Indian white shrimp,3063630,0,0,6.64,72.36,0,0,0,0,0.67,6.88,KGS
Black tiger shrimp,3063640,2.22,25.02,12.37,161.33,0.18,0.16,-1.81,832.08,0.52,9.08,KGS
Flower Shrimp,3063650,0,0,0.01,-25,0,0,0,0,-2.93,2.76,KGS
Other shrimps and prawns,3063690,0,-5.56,7.8,603.63,0,0.09,-5.56,0,-0.3,6.2,KGS
OTHER,3063900,0,-5.56,0,-50,0,0.77,-5.56,0,-5.56,0,KGS
ROCK LOBSTER AND OTHER SEA CRAWFISH OTHN THN LIVE FRESH OR CHILLED,3069100,0,0,0,0,0,0,0,0,0,0,KGS
LOBSTERS OTHN THN LIVE FRESH OR CHILLED,3069200,0,0,0.12,-37.23,0,0,0,0,-2.63,13.29,KGS
CRABS OTHN THN LIVE FRESH OR CHILLED,3069300,0,-5.56,0.02,-42.86,0,2.95,-5.56,0,-3.18,4.75,KGS
NORWAY LOBSTERS OTHN THN LIVE FRESH OR CHILLED,3069400,0,0,0,0,0,0,0,0,0,0,KGS
SHRIMPS AND PRAWNS OTHN THN LIVE FRESH OR CHILLED,3069500,0,0,3.53,42.89,0,0,0,0,0.5,2.03,KGS
OTHER,3069900,0,0,0.24,150,0,0,0,0,1.29,4.46,KGS
LIVE& FRESH OR CHILLED OYSTERS,3071100,0,0,0,-50,0,0,0,0,-5.56,0,KGS
OYSTERS FROZEN,3071200,0.02,0,0,-50,0,0.67,0.05,26.7,-5.56,0,KGS
SCALLOPS AND OTHER MOLLUSCS OF THE FAMILY PECTINIDAE,3071900,0,0,0,0,0,0,0,0,0,0,KGS
SCALOPS CHLAMYS LIVE FRSH/CHLD,3072100,0,-5.56,0,0,0,0,-5.56,0,0,0,KGS
SCALLOPS PECTEN& CHLAMYS OR PLACOPECTEN FROZEN,3072200,0.04,-4.25,0,-50,0,2.89,-1.6,20.3,-5.56,0,KGS
SCALOPS CHLAMYS OTHR THAN LIVE FRSH/CHLLD AND FROZEN,3072900,0,-5.56,0,-50,0,1.11,-5.56,0,-5.56,0,0
MUSSELS (MUIILUS SPP ETC)LIVE FRSH/CHLD,3073100,0,-5.56,0.01,25,0,4.67,-5.56,0,0.73,4.18,KGS
MUSSELS FROZEN,3073200,0.22,2.25,0,-50,0,4.6,-0.54,7.83,-5.56,0,KGS
CALMS-CALM MEAT(BIVLVS-VICTORIIA SPP ETC),3073910,0,0,4.23,0.56,0,0,0,0,1.2,2.06,KGS
OTHER,3073990,0.05,2.78,3.87,-18.82,0.01,0.01,1.32,100,0.66,2.51,KGS
CUTTLE FISH LIVE& FRESH OR CHILLED,3074210,0,0,0.02,-45.24,0,0,0,0,-1.87,3.09,KGS
SQUID LIVE& FRESH OR CHILLED,3074220,0,0,0.66,-15.86,0,0,0,0,-0.14,4.07,KGS
CUTTLE FISH FROZEN,3074310,0.3,-2.67,228.46,-0.65,0,0,2.14,5.33,-0.2,4.66,KGS
WHOLE SQUIDS FROZEN,3074320,1.69,-0.25,277.92,-3.22,0.01,0.01,-1.16,3.11,-0.75,3.8,KGS
SQUID TUBES FROZEN,3074330,0.05,-1.17,12.3,-16.93,0,0,-3.73,2.45,-0.53,5.67,KGS
Other,3074390,0,0,2.61,748.98,0,0,0,0,-0.07,4.43,KGS
CUTTLE FISH OTH THN LIVE& FRESH OR CHILLED AND FROZEN,3074910,0,0,0.02,-49.28,0,0,0,0,-0.31,5,KGS
WHOLE SQUIDS OTH THN LIVE& FRESH OR CHILLED AND FROZEN,3074920,0.34,-2.63,0.81,-14.05,0.42,0.54,0.15,4.19,-0.59,5.02,KGS
SQUID TUBES OTH THN LIVE& FRESH OR CHILLED AND FROZEN,3074930,0,0,0.21,-25.58,0,0,0,0,-0.76,6.75,KGS
DRIED SQUIDS OTH THN LIVE& FRESH OR CHILLED AND FROZEN,3074940,0,0,0,0,0,0,0,0,0,0,KGS
OTHER,3074990,0.15,77.78,9.76,-16.36,0.02,0,-0.24,3.68,-1.03,4.12,KGS
OCTOPUS(OCTOPUS SPP) LIVE FRSH/CHLD,3075100,0,0,0,-50,0,0,0,0,-5.56,0,KGS
OCTOPUS FROZEN,3075200,0.38,4.04,38.96,-15.93,0.01,0,-0.71,3.85,-0.52,3.5,KGS
OCTOPUS OTHER THAN LIVE FRSH/CHLLD AND FROZEN,3075900,0,-5.56,1.88,-15.69,0,0.01,-5.56,0,-0.98,3.65,KGS
SNAILS OTHER THAN SEA SNAILS,3076000,0,0,1.52,3.9,0,0,0,0,-0.82,1.41,KGS
LIVE& FRESH OR CHILLED CLAM& COCKLES ETC.,3077100,0,0,0,-50,0,0,0,0,-5.56,0,KGS
CALMS& COCKLES AND ARK SHELLS FROZEN,3077200,0,0,0,0,0,0,0,0,0,0,KGS
CLAMS& COCKLES AND ARK SHELLS OTH THN LIVE FRSH/CHLLD AND FROZEN,3077900,0,0,0,-50,0,0,0,0,-5.56,0,KGS
FROZEN ABALONE,3078300,0.03,1.59,0,0,0,0,1.25,27.17,0,0,KGS
FROZEN STROMBOID CONCHS,3078400,0.04,5.56,0.59,-29.47,0.07,0.02,0.71,2.67,-0.54,2.06,KGS
OTHER,3078800,0,0,0,0,0,0,0,0,0,0,KGS
OTHER MOLLUSCS LIVE FRSH OR CHLLD,3079100,0,0,0,0,0,0,0,0,0,0,KGS
OTHER INCL FLOURS& MEALS AND PELLETS FIR FOR HUMAN CONSUMPTION FROZEN,3079200,0,0,2.48,37.94,0,0,0,0,0.84,2.6,KGS
OTHER,3079900,0.05,0,0.11,-37.21,0.45,0.04,0,7.18,2.55,2.22,KGS
*SEA SHELL FLESH,3079910,0,0,0,0,0,0,0,0,0,0,KGS
*JELLY FISH(RHOPELINA SPP)DRID SLTD FROZEN,3079920,0,0,0,0,0,0,0,0,0,0,KGS
*OTHER& INCL. FLOWERS& MEALS AND PELETS& OF AQUATIC INVRTBRTS OTHER THAN CRUSTCNS& FIT FOR HUMAN CONSMPSN,3079990,0,0,0,0,0,0,0,0,0,0,KGS
LIVE& FRESH OR CHILLED SEA CUCUMBERS,3081100,0,0,0,0,0,0,0,0,0,0,KGS
SEA CUCUMBERS FROZEN,3081200,0,0,0,-50,0,0,0,0,-5.56,0,KGS
OTHER SEA CUCUMBERS OTH THN LIVE FRSH/CHLLD AND FROZEN,3081900,0,0,0,0,0,0,0,0,0,0,KGS
SEA URCHINS LIVE& FRESH OR CHILLED,3082100,0,0,0,0,0,0,0,0,0,0,KGS
SEA URCHINS FROZEN,3082200,0,0,0,0,0,0,0,0,0,0,KGS
OTHER SEA URCHINS OTH THN LIVE FRSH/CHLLD AND FROZEN,3082900,0,0,0,0,0,0,0,0,0,0,KGS
DRIED& SALTED OR FROZEN JELLYFISH,3083020,0,0,2.14,-12.85,0,0,0,0,0.1,2.21,0
OTHER JELLYFISH OTH THN LIVE FRSH/CHLLD AND FROZEN,3089000,0,-5.56,0,-50,0,8.5,-5.56,0,-5.56,0,KGS
FRESH OR CHILLED,3091010,0,0,0,0,0,0,0,0,0,0,KGS
FROZEN,3091020,0,0,0,0,0,0,0,0,0,0,KGS
SALTED& IN BRINE DRIED OR SMOKED,3091030,0,0,0,0,0,0,0,0,0,0,KGS
OTHER,3091090,0,0,0,0,0,0,0,0,0,0,KGS
INDIAN WHITE SHRIMP(FENNEROPENAEUSINDICUS)OF CRUSTACEANS& FRESH OR CHILLED,3099012,0,0,0,0,0,0,0,0,0,0,KGS
BLACK TIGER SHRIMP(PENAUESMONODON)OF CRUSTACEANS& FRESH OR CHILLED,3099013,0,0,0,-50,0,0,0,0,-5.56,0,KGS
OTHER OF CRUSTACEANS& FRESH OR CHILLED,3099019,0,0,0,0,0,0,0,0,0,0,KGS
OF MOLLUSCS&OTHER,3099080,0,0,0,0,0,0,0,0,0,0,KGS
MLK AND CRM ETC CONTNG FAT NOT EXCDNG 1%,4011000,0,0,0.01,-46.34,0,0,0,0,-2.89,0.42,KGS
MLK AND CRM CONTNG FAT>1% BUT<=6% BY WT,4012000,0,-5.56,6,21.54,0,0,-5.56,0,0.02,0.84,KGS
MILK& CREAM ETC. OF A FAT CONTENT& BY WEIGHT& EXCEEDING 6% BUT NOT EXCEEDING 10%,4014000,0,0,0.41,125.71,0,0,0,0,-0.46,0.78,KGS
MILK& CREAM ETC. OF A FAT CONTENT& BY WEIGHT& EXCEEDING 10%,4015000,2.9,3.23,2.02,81.17,1.44,1.94,0.5,4.11,0.13,2.55,KGS
SKIMMED MILK,4021010,0.44,-4.23,17.72,-37.18,0.02,0.03,-0.1,3.25,-1.02,2.6,KGS
MILK FOOD FOR BABIES,4021020,0,0,1.06,84.75,0,0,0,0,-0.57,7.1,KGS
OTHER MLK AND CRM IN PWDR&GRANL OR SOLID FRM OF FAT CONTNT& BY WT. NOT EXCDNG 1.5%,4021090,0,-5.56,0.53,-30.56,0,0.06,-5.56,0,2.94,3.7,KGS
MLK AND CRM IN PWDR&GRNLS/OTHR SOLID FORMS NOT CONTNG ADDED SUGAR/OTHR SWETNG MATTER CONTNG FAT EXCEEDNG 1.5% BY WT,4022100,0.14,-2.84,0.8,134.62,0.18,0.69,-1.39,6.76,-0.62,3.42,KGS
WHOLE MILK,4022910,0,0,0.12,-39.02,0,0,0,0,-1.15,3.43,KGS
MILK FOR BABIES,4022920,0,0,1.46,276.87,0,0,0,0,0.64,6.11,KGS
OTHERSN(E.G.MILK CREAM),4022990,0.33,23.39,0.43,-40.32,0.77,0.07,0.59,4.8,-0.8,3.77,KGS
CONDENSED MILK,4029110,0,0,0.03,40,0,0,0,0,14.06,4.39,0
OTHER&NOT CONTNG ADDED SUGAR OR SWTNING MTTR,4029190,0,-5.56,0.48,33.72,0,0.01,-5.56,0,0.05,4.45,KGS
WHOLE MILK,4029910,0,0,0,-50,0,0,0,0,-5.56,0,KGS
CONDENSED MILK,4029920,0,0,0.11,32.5,0,0,0,0,0.14,2.74,KGS
OTHER MILK AND CREM,4029990,0,-5.56,2.35,355.17,0,0.02,-5.56,0,0.28,3.43,KGS
*YOGURT,4031000,0,0,0,-50,0,0,0,0,-5.56,0,KGS
YOGURT,4032000,0,0,0,-50,0,0,0,0,-5.56,0,KGS
BUTTER MILK,4039010,0,-5.56,1.24,22.37,0,0.06,-5.56,0,0,0.97,KGS
OTHERS(CROLD MLK&CRM&KIHIR ETC),4039090,0.03,-5.36,2.92,51.86,0.01,0.37,-81.01,13.39,-0.61,1.78,KGS
WHEY&CONCNTRD EVPTD CONDSD (LQD/SEMI LQD),4041010,2.03,11.62,0.04,-29.31,50.75,12.12,0.23,0.87,7.89,3.2,KGS
WHEY&DRY&BLOCKS AND POWDERED,4041020,18.25,-0.74,0.2,-13.41,91.25,79.85,0.15,2.02,-1.14,2.83,KGS
OTHER WHEY,4041090,2.93,4.23,0.38,59.62,7.71,8.8,-0.47,0.62,5.01,4.75,KGS
PRODCTS OTHRTHAN WHEY CONSISTING OF NATURAL MILK CONSTITNTS,4049000,0.49,-1.63,1.43,121.6,0.34,0.96,-2.05,0.76,2.71,9,KGS
BUTTER,4051000,1.81,5.3,182.5,93.11,0.01,0.01,0.34,8.09,0.08,4.84,KGS
DAIRY SPREADS,4052000,0,-5.56,0.02,-39.66,0,0.1,-5.56,0,0.48,6.29,KGS
BUTTER OIL,4059010,0.08,-1.52,12.61,124.49,0.01,0.02,0.49,9.88,0.1,5.79,KGS
MELTED BUTTER (GHEE),4059020,0.29,0.98,116.62,16.8,0,0,0.54,6.33,-0.09,7.14,KGS
OTHER FATS AND OILS DERVTVD FROM MILK,4059090,0,-5.56,55.8,185.51,0,0.01,-5.56,0,0.05,5.94,KGS
*FRSH CHESE(INCL WHEY CHSE)NT FRMNTD AND CURD,4061000,0,-5.56,0,-50,0,0.83,-5.56,0,-5.56,0,KGS
Mozzarella cheese,4061010,0.73,10.89,2.21,423.57,0.33,0.51,-0.06,5.22,0.09,4.02,KGS
Other,4061090,0.71,3.55,5.37,797.89,0.13,0.32,1.58,5.72,-0.03,3.91,KGS
GRATED OR POWDERED CHEESE OF ALL KINDS,4062000,0.03,-5.01,0.21,-16.49,0.14,0.83,12.84,16.27,-1.08,4.16,KGS
PROCESSED CHEESE NOT GRATED/POWDERED,4063000,1.09,-2.74,12.41,28.74,0.09,0.21,2.16,5.76,0.01,6.02,KGS
BLUE VEINED CHEESE,4064000,0.09,-2.15,0.35,43.75,0.26,0.58,0.86,10.06,-1.9,5.07,0
OTHER CHEESE,4069000,7.44,1.28,28.93,1.2,0.26,0.22,0.49,6.7,-0.26,4.61,KGS
OF FOWLS OF THE SPECIES GALLUS DOMESTICUS,4071100,0.05,77.78,25.77,20.26,0,0,0.39,1.67,0.3,0.35,NOS
OF DUCKS,4071910,0,0,0,0,0,0,0,0,0,0,NOS
FERTILISED EGGS OF OTHER BIRDS,4071990,0,-5.56,0,-50,0,0.1,-5.56,0,-5.56,0,NOS
OF FOWLS OF THE SPECIES GALLUS DOMESTICUS,4072100,0,-5.56,67.8,17.67,0,0,-5.56,0,-0.08,0.07,NOS
FRESH EGGS OF OTHER BIRDS,4072900,0,0,0,-50,0,0,0,0,-5.56,0,NOS
OTHER EGGS OF HDG. 0407,4079000,0.3,-2.03,2.23,92.95,0.13,0.38,0.5,46.3,-1.33,0.32,NOS
EGG YOLKS DRIED,4081100,0.38,64.81,27.57,6.64,0.01,0,0.66,6.33,1.86,7.21,KGS
OTHER EGG YOLKS NOT DRIED,4081900,0.11,20.63,6.63,42.43,0.02,0.01,0.13,3.25,1.16,3.03,KGS
BIRDS EGGS NOT IN SHELL DRIED,4089100,0.25,26.5,16.49,-0.85,0.02,0.01,0.86,7.72,0.16,6.15,KGS
OTHR BIRDS EGGS NOT IN SHEEL NOT DRIED,4089900,0,0,2.19,27.66,0,0,0,0,-0.13,1.71,KGS
NATURAL HONEY,4090000,2.51,-0.32,204.29,6.82,0.01,0.01,-0.66,3.45,-0.07,2.04,KGS
*EDIBLE PRODUCTS OF WILD ANIMALS N.E.S.,4100010,0,0,0,0,0,0,0,0,0,0,KGS
*EDBL PRDCTS OTHR THAN TURTLE EGGS/ SALANGANES OF ANML ORGN N.E.S.OR INCLUDED,4100090,0,0,0,-50,0,0,0,0,-5.56,0,KGS
OTHER,4101090,0,0,0,0,0,0,0,0,0,0,KGS
OF WILD ANIMALS,4109010,0,0,0,0,0,0,0,0,0,0,KGS
OTHER,4109090,0,-5.56,0.34,12.96,0,0.09,-5.56,0,-0.28,5.79,KGS
HUMAN HAIR&UNWORKED; WHETHR OR NOT WASHD OR SCOURED,5010010,0,-5.56,197.89,9.62,0,0,-5.56,0,0.34,58.26,KGS
WASTE OF HUMAN HAIR,5010020,0,-5.56,0.88,-46.83,0,0,-5.56,0,-0.06,54.99,KGS
PIGS&HOGS/BOARS BRISTLS AND HAIR,5021010,0.58,-1.08,0.93,54.89,0.62,1.21,-0.6,12.62,0.34,67.21,KGS
BADGER HAIR AND OTHER BRUSH MAKING HAIR,5029010,0.21,-1.58,0,0,0,0,-2.32,72.41,0,0,KGS
YAK TAIL,5029020,0,0,0,0,0,0,0,0,0,0,KGS
OTHER HAIR EXCLDNG BADGER HAIR AND YAK TAIL,5029090,0,0,0.06,2.94,0,0,0,0,-2.12,12.38,KGS
GUTS OF CATTLE FOR NATURAL FOOD CASINGS,5040010,0,0,3.19,15900,0,0,0,0,0.02,1.31,KGS
GUTS OF SHEP AND GOATS FOR NATRL FOD CASNGS,5040020,0.39,17.66,1.24,97.62,0.31,0.27,0.09,3.24,-2.91,1.77,KGS
GUTS OF OTHR ANMLS FOR NATRL FOOD CASNGS,5040039,0,-5.56,0.84,-23.86,0,0.01,-5.56,0,0.89,6.37,KGS
GUTS OTHR THAN FOR NATRL FOD CASNGS OF OTHER ANIMALS,5040049,0,0,0.04,-42.94,0,0,0,0,-0.77,1.6,KGS
BLADDERS AND STOMACHS OF OTHER ANMLS,5040059,0,0,54.49,6.12,0,0,0,0,-0.06,3.6,KGS
FEATHER OF WILD BIRDS USD FOR STFNG;DOWN,5051010,0,-5.56,0,0,0,0,-5.56,0,0,0,KGS
OTHER FEATHER USD FOR STFNG;DOWN,5051090,0.95,2.87,0.02,25,47.5,47.17,-2.56,18.75,1.48,125,KGS
PEACOCK TAIL AND WING FEATHER(TRIMMD OR NOT),5059010,0,0,0,0,0,0,0,0,0,0,KGS
OTHER FEATHER (EXCLDNG FOR STFNG PORPOSE),5059029,0.08,27.78,0,0,0,0,0.3,355.56,0,0,KGS
OTHER BRDS FETHR PWDR/WASTE/PARTS,5059039,0,0,0,0,0,0,0,0,0,0,KGS
SKINS AND OTHR PARTS OF OTHER BIRDS,5059099,0.01,0,0.01,0,1,0.25,0,192.31,6.17,106.38,KGS
BONES INCLDNG HORN-CORES CRSHD OF WILD ANMLS TRTD WITH ACID,5061011,0,0,0,0,0,0,0,0,0,0,KGS
BONES INCLDNG HORN-CORES CRSHD OF OTHRS TRTD WITH ACID,5061019,1.13,-1.36,0.92,-3.22,1.23,1.45,-0.49,0.67,-0.73,3.68,KGS
BONE GRIST OF OTHER ANMLS TRTD WITH ACID,5061029,0,0,0.15,-5,0,0,0,0,-0.08,0.6,KGS
OSSE IN TRTD WITH ACID OF OTHER,5061039,0,0,10.72,-10.45,0,0,0,0,-0.33,3.37,KGS
BONES&HRN-CONES AND PARTS NOT CRSHD OF WILD ANIMALS,5061041,0,0,0,0,0,0,0,0,0,0,KGS
BONES&HRNCONES AND PARTS NOT CRSHD OF OTHERS,5061049,0,0,0,-50,0,0,0,0,-5.56,0,KGS
BONE MEALS OF WILD ANMLS,5069011,0,0,0,-50,0,0,0,0,-5.56,0,KGS
OTHER BONE MEALS,5069019,0,0,0.11,-46.78,0,0,0,0,-1.67,0.68,KGS
